INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-09-05T09:00:00-00:00,2022-09-05T10:00:00-00:00,0,2022-09-05,3,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1907,ACTUAL,3
2022-09-05T18:00:00-00:00,2022-09-05T19:00:00-00:00,0,2022-09-05,12,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3611,ACTUAL,3
2022-09-05T22:00:00-00:00,2022-09-05T23:00:00-00:00,0,2022-09-05,16,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4498,ACTUAL,3
2022-09-05T11:00:00-00:00,2022-09-05T12:00:00-00:00,0,2022-09-05,5,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1899,ACTUAL,3
2022-09-05T10:00:00-00:00,2022-09-05T11:00:00-00:00,0,2022-09-05,4,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1889,ACTUAL,3
2022-09-05T12:00:00-00:00,2022-09-05T13:00:00-00:00,0,2022-09-05,6,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1906,ACTUAL,3
2022-09-05T13:00:00-00:00,2022-09-05T14:00:00-00:00,0,2022-09-05,7,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2013,ACTUAL,3
2022-09-05T23:00:00-00:00,2022-09-06T00:00:00-00:00,0,2022-09-05,17,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4488,ACTUAL,3
2022-09-06T02:00:00-00:00,2022-09-06T03:00:00-00:00,0,2022-09-05,20,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3771,ACTUAL,3
2022-09-06T04:00:00-00:00,2022-09-06T05:00:00-00:00,0,2022-09-05,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3135,ACTUAL,3
