INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-05-01T04:00:00-00:00,2023-05-01T05:00:00-00:00,1,2023-04-30,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1162.15,DAM,1
2023-05-01T03:00:00-00:00,2023-05-01T04:00:00-00:00,1,2023-04-30,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1234.21,DAM,1
2023-05-01T06:00:00-00:00,2023-05-01T07:00:00-00:00,1,2023-04-30,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,972.92,DAM,1
2023-05-01T05:00:00-00:00,2023-05-01T06:00:00-00:00,1,2023-04-30,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1060.71,DAM,1
2023-05-01T02:00:00-00:00,2023-05-01T03:00:00-00:00,1,2023-04-30,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1240.73,DAM,1
2023-05-01T00:00:00-00:00,2023-05-01T01:00:00-00:00,1,2023-04-30,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1259.79,DAM,1
2023-05-01T01:00:00-00:00,2023-05-01T02:00:00-00:00,1,2023-04-30,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1250.86,DAM,1
2023-05-01T02:00:00-00:00,2023-05-01T03:00:00-00:00,1,2023-04-30,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-05-01T04:00:00-00:00,2023-05-01T05:00:00-00:00,1,2023-04-30,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-05-01T06:00:00-00:00,2023-05-01T07:00:00-00:00,1,2023-04-30,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-05-01T05:00:00-00:00,2023-05-01T06:00:00-00:00,1,2023-04-30,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
